Ranking,Country,Region,Happiness_Score,GDP_per_capita,Social_Support,Healthy_Life_Expectancy,Freedom,Generosity,Corruption,Year,GDP_Growth,Inflation,Unemployment
1,Switzerland,Western Europe,7.587,8.26132,0.9624,73,0.99379,0.37289,0.23941,2015,0.494129645915152,-1.26505670137881,4.801
2,Iceland,Western Europe,7.561,7.70416,1.0,73,0.93884,0.54819,0.74371,2015,2.69299664107407,6.75163002338077,3.979
3,Denmark,Western Europe,7.527,7.84114,0.9703,70,0.96962,0.42894,0.12382,2015,1.38566632188861,0.409102918740629,6.278
4,Norway,Western Europe,7.522,8.631,0.94917,71,1.0,0.43598,0.3386,2015,0.848799114123295,-2.8044681119864,4.296
5,Canada,North America and ANZ,7.427,7.84595,0.94322,71,0.94511,0.5756,0.40285,2015,-0.11236916498423,-0.86765132022812,6.945
6,Finland,Western Europe,7.406,7.63273,0.94012,71,0.95813,0.29339,0.25039,2015,0.136127693741741,1.63270237918134,9.376
7,Netherlands,Western Europe,7.378,7.8646,0.91295,71,0.91942,0.59821,0.42357,2015,1.66898777013176,0.888432954114009,6.872
8,Sweden,Western Europe,7.364,7.87799,0.9193,72,0.98517,0.45562,0.2056,2015,3.29020421290397,2.25576478043419,7.432
9,New Zealand,North America and ANZ,7.286,7.39573,0.94112,72,0.95468,0.59683,0.22231,2015,1.60054496622324,1.46396842829697,5.415
10,Australia,North America and ANZ,7.284,7.88909,0.93368,72,0.97239,0.54734,0.35431,2015,0.704511799724457,-0.627407934606055,6.055
11,Israel,Middle East and North Africa,7.278,7.26786,0.87285,72,0.61695,0.41679,0.85894,2015,0.231915657737829,2.36108211744362,5.176
12,Costa Rica,Latin America and Caribbean,7.226,5.65412,0.88279,70,0.94629,0.32036,0.80826,2015,2.55664330007954,3.95521539698855,8.415
13,Austria,Western Europe,7.2,7.91067,0.92498,71,0.93222,0.41574,0.66161,2015,0.174259722821304,2.29263470154871,5.802
14,Mexico,Latin America and Caribbean,7.187,6.03719,0.65218,68,0.71941,0.17683,0.61385,2015,1.60971010585429,3.22542892692515,4.311
15,United States,North America and ANZ,7.119,8.24951,0.88938,70,0.8153,0.50391,0.7121,2015,2.12741138123612,0.765879740073601,5.28
16,Brazil,Latin America and Caribbean,6.983,5.80471,0.87922,64,0.73237,0.18312,0.68253,2015,-4.30639755989316,7.56617500786905,8.538
17,Luxembourg,Western Europe,6.946,9.25162,0.86977,72,0.91952,0.35223,0.31515,2015,-0.11547655084216,2.21918090837401,6.796
18,Ireland,Western Europe,6.94,7.90313,0.97664,71,0.92242,0.57673,0.47994,2015,23.4520270725761,8.91781250799578,9.908
